"dt","k","v"
2013-12-21,"lg.visits",3601895
2013-12-22,"lg.visits",3807096
2013-12-23,"lg.visits",3917735
2013-12-24,"lg.visits",2955523
2013-12-25,"lg.visits",3231750
2013-12-26,"lg.visits",4906832
2013-12-27,"lg.visits",3798836
2013-12-28,"lg.visits",3100170
2013-12-29,"lg.visits",3039110
2013-12-30,"lg.visits",2891153
2013-12-31,"lg.visits",2316162
2014-01-01,"lg.visits",2560896
2014-01-02,"lg.visits",2889549
2014-01-03,"lg.visits",2746061
2014-01-04,"lg.visits",2554556
2014-01-05,"lg.visits",2417088
2014-01-06,"lg.visits",2201812
2014-01-07,"lg.visits",2265215
2014-01-08,"lg.visits",2317177
2014-01-09,"lg.visits",2266992
2014-01-10,"lg.visits",2513530
2014-01-11,"lg.visits",2366080
2014-01-12,"lg.visits",2474154
2014-01-13,"lg.visits",2339239
2014-01-14,"lg.visits",2191177
2014-01-15,"lg.visits",2239997
2014-01-16,"lg.visits",2162571
2014-01-17,"lg.visits",2329654
2014-01-18,"lg.visits",2196536
2014-01-19,"lg.visits",2480631
2014-01-20,"lg.visits",2404061
2014-01-21,"lg.visits",2127135
2014-01-22,"lg.visits",2260748
2014-01-23,"lg.visits",2418006
2014-01-24,"lg.visits",2652687
2014-01-25,"lg.visits",2412252
2014-01-26,"lg.visits",2445122
2014-01-27,"lg.visits",2270729
2014-01-28,"lg.visits",2310729
2014-01-29,"lg.visits",2104075
2014-01-30,"lg.visits",2101383
2014-01-31,"lg.visits",2527173
2014-02-01,"lg.visits",2466017
2014-02-02,"lg.visits",2165801
2014-02-03,"lg.visits",2138606
2014-02-04,"lg.visits",2026779
2014-02-05,"lg.visits",2008361
2014-02-06,"lg.visits",1984370
2014-02-07,"lg.visits",2162643
2014-02-08,"lg.visits",2162603
2014-02-09,"lg.visits",2427915
2014-02-10,"lg.visits",2311431
2014-02-11,"lg.visits",2188901
2014-02-12,"lg.visits",2094220
2014-02-13,"lg.visits",2081921
2014-02-14,"lg.visits",2067771
2014-02-15,"lg.visits",2392494
2014-02-16,"lg.visits",2446966
2014-02-17,"lg.visits",2338807
2014-02-18,"lg.visits",2016286
2014-02-19,"lg.visits",2003903
2014-02-20,"lg.visits",1991578
2014-02-21,"lg.visits",2132595
2014-02-22,"lg.visits",1986985
2014-02-23,"lg.visits",2211904
2014-02-24,"lg.visits",2320865
2014-02-25,"lg.visits",2169623
2014-02-26,"lg.visits",2077115
2014-02-27,"lg.visits",1939146
2014-02-28,"lg.visits",2099414
2014-03-01,"lg.visits",2077238
2014-03-02,"lg.visits",2260068
2014-03-03,"lg.visits",2113451
2014-03-04,"lg.visits",1986709
2014-03-05,"lg.visits",1968604
2014-03-06,"lg.visits",2134287
2014-03-07,"lg.visits",2036047
2014-03-08,"lg.visits",1938489
2014-03-09,"lg.visits",2107931
2014-03-10,"lg.visits",2054419
2014-03-11,"lg.visits",1854976
2014-03-12,"lg.visits",1977659
2014-03-13,"lg.visits",1899206
2014-03-14,"lg.visits",1952455
2014-03-15,"lg.visits",1924155
2014-03-16,"lg.visits",2073636
2014-03-17,"lg.visits",1941143
2014-03-18,"lg.visits",1902903
2014-03-19,"lg.visits",1901396
2014-03-20,"lg.visits",1780054
2014-03-21,"lg.visits",1897810
2014-03-22,"lg.visits",1882674
2014-03-23,"lg.visits",2059902
2014-03-24,"lg.visits",1969184
2014-03-25,"lg.visits",1948032
2014-03-26,"lg.visits",1966681
2014-03-27,"lg.visits",1816008
2014-03-28,"lg.visits",2062622
2014-03-29,"lg.visits",1925281
2014-03-30,"lg.visits",2002432
2014-03-31,"lg.visits",1945975
2014-04-01,"lg.visits",1813678
2014-04-02,"lg.visits",1835948
2014-04-03,"lg.visits",1789725
2014-04-04,"lg.visits",1946818
2014-04-05,"lg.visits",1756990
2014-04-06,"lg.visits",2025997
2014-04-07,"lg.visits",1994919
2014-04-08,"lg.visits",1993259
2014-04-09,"lg.visits",1743632
2014-04-10,"lg.visits",1816575
2014-04-11,"lg.visits",1851148
2014-04-12,"lg.visits",1649297
2014-04-13,"lg.visits",1884169
2014-04-14,"lg.visits",1929379
2014-04-15,"lg.visits",1851869
2014-04-16,"lg.visits",1814369
2014-04-17,"lg.visits",1715083
2014-04-18,"lg.visits",1941004
2014-04-19,"lg.visits",1641482
2014-04-20,"lg.visits",1672859
2014-04-21,"lg.visits",1943595
2014-04-22,"lg.visits",1832008
2014-04-23,"lg.visits",1816132
2014-04-24,"lg.visits",1832564
2014-04-25,"lg.visits",1797345
2014-04-26,"lg.visits",1647438
2014-04-27,"lg.visits",1894458
2014-04-28,"lg.visits",1854965
2014-04-29,"lg.visits",1874440
2014-04-30,"lg.visits",1876428
2014-05-01,"lg.visits",1927496
2014-05-02,"lg.visits",1953067
2014-05-03,"lg.visits",1712751
2014-05-04,"lg.visits",1897255
2014-05-05,"lg.visits",1928514
2014-05-06,"lg.visits",1827694
2014-05-07,"lg.visits",1801387
2014-05-08,"lg.visits",1721541
2014-05-09,"lg.visits",1807025
2014-05-10,"lg.visits",1673572
2014-05-11,"lg.visits",1757234
2014-05-12,"lg.visits",1833615
2014-05-13,"lg.visits",1717204
2014-05-14,"lg.visits",1680141
2014-05-15,"lg.visits",1786042
2014-05-16,"lg.visits",1781473
2014-05-17,"lg.visits",1573805
2014-05-18,"lg.visits",1857262
2014-05-19,"lg.visits",1875664
2014-05-20,"lg.visits",1845223
2014-05-21,"lg.visits",1838131
2014-05-22,"lg.visits",1811483
2014-05-23,"lg.visits",2060725
2014-05-24,"lg.visits",1826545
2014-05-25,"lg.visits",1837125
2014-05-26,"lg.visits",1955481
2014-05-27,"lg.visits",2013552
2014-05-28,"lg.visits",1833815
2014-05-29,"lg.visits",1811397
2014-05-30,"lg.visits",1856173
2014-05-31,"lg.visits",1654173
2014-06-01,"lg.visits",1901355
2014-06-02,"lg.visits",1965266
2014-06-03,"lg.visits",1864583
2014-06-04,"lg.visits",1847167
2014-06-05,"lg.visits",1982221
2014-06-06,"lg.visits",1893415
2014-06-07,"lg.visits",1723194
2014-06-08,"lg.visits",1981936
2014-06-09,"lg.visits",2107220
2014-06-10,"lg.visits",2031674
2014-06-11,"lg.visits",2190073
2014-06-12,"lg.visits",1973148
2014-06-13,"lg.visits",2007936
2014-06-14,"lg.visits",1775471
2014-06-15,"lg.visits",1862835
2014-06-16,"lg.visits",2002541
2014-06-17,"lg.visits",1960869
2014-06-18,"lg.visits",1863654
2014-06-19,"lg.visits",1949307
2014-06-20,"lg.visits",1878575
2014-06-21,"lg.visits",1681370
2014-06-22,"lg.visits",1890944
2014-06-23,"lg.visits",1991969
2014-06-24,"lg.visits",2094657
2014-06-25,"lg.visits",1896799
2014-06-26,"lg.visits",1780025
2014-06-27,"lg.visits",1837749
2014-06-28,"lg.visits",1659066
2014-06-29,"lg.visits",1909561
2014-06-30,"lg.visits",1968922
2014-07-01,"lg.visits",1995696
2014-07-02,"lg.visits",2104595
2014-07-03,"lg.visits",2156689
2014-07-04,"lg.visits",1758959
2014-07-05,"lg.visits",1807395
2014-07-06,"lg.visits",1964777
2014-07-07,"lg.visits",2083321
2014-07-08,"lg.visits",2068668
2014-07-09,"lg.visits",1812514
2014-07-10,"lg.visits",1790073
2014-07-11,"lg.visits",1824124
2014-07-12,"lg.visits",1698210
2014-07-13,"lg.visits",1803988
2014-07-14,"lg.visits",1954415
2014-07-15,"lg.visits",1938180
2014-07-16,"lg.visits",1951415
2014-07-17,"lg.visits",1930950
2014-07-18,"lg.visits",1762346
2014-07-19,"lg.visits",1662476
2014-07-20,"lg.visits",1918507
2014-07-21,"lg.visits",1998275
2014-07-22,"lg.visits",1951175
2014-07-23,"lg.visits",1910048
2014-07-24,"lg.visits",1995025
2014-07-25,"lg.visits",2308526
2014-07-26,"lg.visits",1885318
2014-07-27,"lg.visits",1942279
2014-07-28,"lg.visits",2255110
2014-07-29,"lg.visits",1940365
2014-07-30,"lg.visits",1868278
2014-07-31,"lg.visits",1865662
2014-08-01,"lg.visits",2138403
2014-08-02,"lg.visits",1908266
2014-08-03,"lg.visits",2100059
2014-08-04,"lg.visits",2075680
2014-08-05,"lg.visits",2064154
2014-08-06,"lg.visits",1968785
2014-08-07,"lg.visits",1885476
2014-08-08,"lg.visits",1864956
2014-08-09,"lg.visits",1700528
2014-08-10,"lg.visits",1969825
2014-08-11,"lg.visits",2061827
2014-08-12,"lg.visits",1986601
2014-08-13,"lg.visits",2016929
2014-08-14,"lg.visits",1937644
2014-08-15,"lg.visits",1942293
2014-08-16,"lg.visits",1818047
2014-08-17,"lg.visits",2094822
2014-08-18,"lg.visits",2129512
2014-08-19,"lg.visits",2084867
2014-08-20,"lg.visits",1994355
2014-08-21,"lg.visits",1982695
2014-08-22,"lg.visits",1967144
2014-08-23,"lg.visits",1851571
2014-08-24,"lg.visits",2136412
2014-08-25,"lg.visits",2168291
2014-08-26,"lg.visits",2110828
2014-08-27,"lg.visits",1907713
2014-08-28,"lg.visits",1939032
2014-08-29,"lg.visits",2130348
2014-08-30,"lg.visits",2010507
2014-08-31,"lg.visits",2243729
2014-09-01,"lg.visits",2331300
2014-09-02,"lg.visits",2059430
2014-09-03,"lg.visits",1945405
2014-09-04,"lg.visits",1897254
2014-09-05,"lg.visits",2067302
2014-09-06,"lg.visits",1989837
2014-09-07,"lg.visits",2006266
2014-09-08,"lg.visits",2062035
2014-09-09,"lg.visits",2167387
2014-09-10,"lg.visits",1993196
2014-09-11,"lg.visits",2179489
2014-09-12,"lg.visits",2322217
2014-09-13,"lg.visits",2007206
2014-09-14,"lg.visits",2103004
2014-09-15,"lg.visits",2136805
2014-09-16,"lg.visits",2054090
2014-09-17,"lg.visits",1912070
2014-09-18,"lg.visits",2002773
2014-09-19,"lg.visits",2140526
2014-09-20,"lg.visits",1851528
2014-09-21,"lg.visits",2024152
2014-09-22,"lg.visits",2093629
2014-09-23,"lg.visits",1923895
2014-09-24,"lg.visits",1884193
2014-09-25,"lg.visits",1907038
2014-09-26,"lg.visits",1971543
2014-09-27,"lg.visits",1712058
2014-09-28,"lg.visits",1964211
2014-09-29,"lg.visits",2121803
2014-09-30,"lg.visits",2095266
2014-10-01,"lg.visits",1965480
2014-10-02,"lg.visits",1916396
2014-10-03,"lg.visits",1937008
2014-10-04,"lg.visits",1747542
2014-10-05,"lg.visits",1944308
2014-10-06,"lg.visits",1972054
2014-10-07,"lg.visits",1954123
2014-10-08,"lg.visits",1888064
2014-10-09,"lg.visits",2030702
2014-10-10,"lg.visits",1940079
2014-10-11,"lg.visits",1793522
2014-10-12,"lg.visits",1996433
2014-10-13,"lg.visits",2125066
2014-10-14,"lg.visits",1951887
2014-10-15,"lg.visits",1889716
2014-10-16,"lg.visits",1871763
2014-10-17,"lg.visits",2219152
2014-10-18,"lg.visits",1793936
2014-10-19,"lg.visits",2034222
2014-10-20,"lg.visits",2107407
2014-10-21,"lg.visits",2067764
2014-10-22,"lg.visits",1946003
